Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
Ophthotech,http://www.ophthotech.com,"Ophthotech is a biopharmaceutical company focusing on discovering, developing and commercializing therapies for the treatment of major ophthalmic diseases. Ophthotech's lead compound Fovista (previously known as E10030) is being developed for use in combination with anti-VEGF therapy for the treatment of patients with wet AMD.",Clarus;HBM Healthcare Investments;Novo Holdings;Public;SV Health Investors,116,Healthcare,Drug Discovery,,United States,New York,New York,212-845-8200,info@ophthotech.com,Yes,IPO,2013/09/25,Series C,2013/05/29,50,Series C,HBM Healthcare Investments;SV Health Investors;Novo Holdings;Clarus,662.43,662.43,,,North America,,Pharma Startups;Eye Health,,,,,,,
OptiNose,http://www.optinose.com,"OptiNose is a specialty pharmaceutical company built around a unique nasal delivery platform. The company is driven by an experienced, world-class team with expertise including drug and device development, product manufacturing and commercialization. OptiNose is focused on using its patented technology to identify and develop reduced-risk assets that create significant commercial value by offering meaningful new clinical benefits to patients and healthcare systems. The OptiNose closed-palate Bi-Directional Breath Powered technology platform provides dramatically enhanced delivery of drug into the nasal cavity compared to current approaches. When used to deliver select medications for diseases where this type of delivery is important to targeting, efficacy or safety, this innovative technology platform can be a critical enabler for the development of valuable new products. OptiNose has an exciting pipeline of these assets for the treatment of diseases with significant unmet need. OptiNose was founded in 2000 and has corporate offices in Yardley, PA (USA), Oslo, Norway, and the United Kingdom.",Avista Capital Partners;Entrepreneurs Fund;Fidelity Investments;Public;Qualifying Therapeutic Discovery Project;Research Council of Norway;WFD Ventures,120.58,Healthcare,Drug Delivery,,United States,Pennsylvania,Morrisville,267-364-3500,info@optinose.com,Yes,IPO,2017/10/13,Series E,2017/04/07,37,Series E,Entrepreneurs Fund;WFD Ventures;Fidelity Investments;Avista Capital Partners,566.18,566.18,,,North America,,,,18,0,1.13,100.00%,,@OptiNose
Organovo,http://www.organovo.com,Organovo is focused on delivering three-dimensional biology capabilities to create tissue on demand for research and surgical applications.,Real Estate Restoration & Exchange Commission;Richmond Global;Undisclosed Angel Investors,3.5,Healthcare,Medical Devices & Equipment,Other Medical Devices,United States,California,San Diego,,,Yes,Reverse Merger,2012/02/15,Series A,2011/10/27,3.5,Series A,Undisclosed Angel Investors;Richmond Global,,,,,North America,,BIO 2016;Medical Devices,,4270,0.67,8.56,8.00%,0.00%,@Organovo
Oscient Pharmaceuticals,http://www.oscient.com,Oscient Pharmaceuticals develops anti-infective therapeutics,Abingworth;Alexandra Investment Management;Amaranth Advisors;Ashford Capital Management;AWM Investment Company;BayStar Capital;Cowen;Domain Associates;Downsview Capital;Enable Capital Management;Gryphon Investors;Heights Capital Management;Highbridge Capital Management;Iroquois Capital Group;Kamunting Street Capital Management;MPM Capital;Nite Capital Management;OrbiMed Advisors;ProMed Capital;Public;Quattro Global Capital;Riverview Group;UBS,13.05,Healthcare,Biotechnology,,United States,Massachusetts,Waltham,781-398-2300,investors@oscient.com,Yes,IPO,2003/11/06,Unattributed VC,2003/10/06,13.05,Venture Capital,Gryphon Investors;Riverview Group;Highbridge Capital Management;Domain Associates;Downsview Capital;ProMed Capital;AWM Investment Company;BayStar Capital,,,,,North America,,Pharma Startups,,,,,,,
Osprey Medical,http://www.ospreymed.com,"Osprey Medical is a medical device company focused on the development and commercialization of its CINCOR System designed for the prevention of Contrast Induced Nephropathy (CIN). The CINCOR System originated from technology developed at the Baker Heart and Diabetes Institute in Melbourne, Australia. Osprey Medical's technologies are designed to reduce the amount of dye (contrast) injected during commonly performed heart procedures to protect the kidneys from damage known as contrast induced nephropathy (CIN). Dye is routinely used to x-ray the heart during angioplasty and stenting procedures. Patients at high risk of CIN often have pre-existing chronic kidney disease. Prevention of CIN in high risk patients may lead to shorter hospital stays, improved patient outcomes, and may ultimately save patients' lives.",Brandon Capital Partners;CM Capital;Public,5,Healthcare,Medical Devices & Equipment,Imaging & Diagnostic Equipment,United States,Minnesota,Hopkins,952-955-8230,info@ospreymed.com,Yes,IPO,2012/04/17,Series A,2007/06/05,5,Series A,CM Capital;Brandon Capital Partners,16.715416,16.715416,,,North America,,Medical Devices,,,,,,,
OticPharma,http://www.oticpharma.com,"OticPharma, fka Otic Pharma, is a clinical-stage pharmaceutical company focusing on the development and commercialization of products for disorders of the ear, nose, and throat (ENT). The company is developing a nasally-administered, combination drug product (OP-02) intended to address the underlying cause of otitis media and Eustachian tube dysfunction (OM/ETD), a condition that affects more than 700 million people around the world every year. The company also has a foam-based drug delivery technology platform (OP-01) that can be used to deliver drugs into the ear, nose, and sinus cavities, which is an improved treatment option for acute otitis externa (swimmers ear).",OrbiMed Advisors;Pontifax;Tokai Pharmaceuticals,4.3,Healthcare,Medical Devices & Equipment,,United States,California,Irvine,949-238-8090,info@oticpharma.com,Yes,Reverse Merger,2016/12/22,Series A,2012/02/26,4.3,Series A,OrbiMed Advisors,,,,,North America,,Medical Devices,,,,,,,
Otonomy,http://www.otonomy.com,"Otonomy is a clinical stage biopharmaceutical company developing drug therapies for disorders of the inner and middle ear. This field represents a large opportunity as there are no approved drug treatments for the nearly 30 million Americans facing debilitating hearing and balance disorders such as Meniere's disease, sudden sensorineural hearing loss, noise-induced hearing loss, age-related hearing impairment, and tinnitus. Additionally, new therapies are required for otitis media since resistance to oral antibiotics is increasing and short-acting locally administered drugs present significant compliance challenges. Otonomy is working in partnership with leading experts in the field of otology to bring new drug therapies to patients suffering with these conditions.",Ally Bridge Group;Aperture Venture Partners;Avalon Ventures;Clough Global;Domain Associates;Federated Investors;Jennison Associates;Novo Ventures;OrbiMed Advisors;Osage University Partners;Perceptive Advisors;Public;RiverVest Venture Partners;TPG Biotech,143.4,Healthcare,Drug Development,,United States,California,San Diego,858-242-5200,info@otonomy.com,Yes,IPO,2014/08/13,Series D,2014/04/30,49,Series D,Ally Bridge Group;Perceptive Advisors;TPG Biotech;Domain Associates;Avalon Ventures;Clough Global;Jennison Associates;Osage University Partners;OrbiMed Advisors;Novo Ventures;Federated Investors;Aperture Venture Partners;RiverVest Venture Partners,310.7,310.7,,,North America,,Pharma Startups,,261,0,2.61,-33.00%,,@Otonomy
Outlook Therapeutics,http://www.outlooktherapeutics.com,"Outlook Therapeutics is a late clinical-stage biopharmaceutical company focused on developing and commercializing ONS-5010, a complex, technically challenging and commercially attractive monoclonal antibody, or mAb, for various ophthalmic indications.",BioLexis;Cormorant Asset Management;Longwood Capital Partners;MIH Fund;OSSB Pharma Fund;Perceptive Advisors;Proximare;Public;Sabby Capital;Strides Pharma Science;Undisclosed Investors;venBIO,51.85,Healthcare,Drug Development,,United States,New Jersey,Cranbury,609-619-3990,info@oncobiologics.com,Yes,IPO,2016/05/13,Series A - III,2015/12/23,6.35,Series A,Undisclosed Investors,136.82,136.82,,,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics,,,,,,,
OvaScience,http://www.ovascience.com,"OvaScience is a fertility company focused on the discovery, development and commercialization of treatments for infertility. OvaScience is working to improve the treatment of female infertility based on technology licensed from Massachusetts General Hospital.",Apothecary Capital;Bessemer Venture Partners;Cycad Group;General Catalyst;Hunt BioVentures;Longwood Fund;Public;RA Capital Management,46.63,Healthcare,Biotechnology,,United States,Massachusetts,Cambridge,,,Yes,IPO,2012/11/12,Series B - II,2012/07/20,3.63,Series B,Bessemer Venture Partners;Hunt BioVentures;Apothecary Capital;RA Capital Management;Cycad Group;Longwood Fund;General Catalyst,106.96,106.96,,,North America,,BIO 2016;Smart Money VCs;Womens Health Startups,,2597,0.67,1.83,-1400.00%,,@OvaScience
Ovid Therapeutics,http://www.ovidrx.com,"Ovid Therapeutics (NASDAQ: OVID) is a New York-based biopharmaceutical company using its BoldMedicine approach to develop therapies that transform the lives of patients with rare neurological diseases. Ovid's lead product candidate, OV101, is currently in development for the treatment of symptoms of Angelman syndrome and Fragile X syndrome.",Cormorant Asset Management;Cowen Private Investments;DoubleLine Equity Healthcare Fund;Fidelity Investments;Jennison Associates;Public;Redmile Group;Sanofi-Genzyme BioVentures;Sphera Funds;Takeda Pharmaceutical;Tekla Capital Management,105.92,Healthcare,Drug Development,,United States,New York,New York,212-776-4381,info@ovidrx.com,Yes,IPO,2017/05/05,Corporate Minority,2017/01/19,25.86,Corporate Minority,Takeda Pharmaceutical,369.01,369.01,,,North America,,BIO 2016;Pharma Startups;Rare Diseases;Neuroscience Startups,,209,0.22,9.95,-39.00%,-78.00%,@OvidRx
PCTEL,http://www.pctel.com,"PCTEL is a Mobile & Telecommunications/Telecom Devices & Equipment company based in Bloomingdale, Illinois. PCTEL has received investment from WK Technology Fund.",Public;Undisclosed Venture Investors;WK Technology Fund,5,Mobile & Telecommunications,Telecom Devices & Equipment,,United States,Illinois,Bloomingdale,630-372-6800,,Yes,IPO,2000/04/11,Unattributed VC,1998/02/13,5,Venture Capital,WK Technology Fund,,,,,North America,,CES 2018 Exhibitors,,418,0,27.87,56.00%,,@PCTEL_inc
PDS Biotechnology,http://www.pdsbiotech.com,"PDS Biotechnology is a company with a growing pipeline of clinical-stage immunotherapies to treat various early-stage and late-stage cancers, including head and neck cancer, cervical cancer, anal cancer, prostate cancer, and breast cancer, and other cancers.",Asklepios Capital;BIOSTART;Edge Therapeutics;Elevate Ventures;National Cancer Institute;NetScientific;Sherrie Labrum Trust;Undisclosed Investors,6.07,Healthcare,Biotechnology,,United States,New Jersey,Berkeley Heights,800-208-3343,info@pdsbiotech.com,Yes,Reverse Merger,2019/03/18,Unattributed,2016/09/30,1.14,Undisclosed,Undisclosed Investors,24,24,,,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics,,,,,,,
PLx Pharma,http://www.plxpharma.com,"PLx Pharma is a late-stage specialty pharmaceutical company focused on developing the clinically validated and patent-protected PLxGuard delivery system to provide safer and more effective aspirin products. Its PLxGuard delivery system works by releasing active pharmaceutical ingredients into the duodenum, the first part of the small intestine immediately below the stomach, rather than in the stomach itself. The company believes this improves the absorption of many drugs currently on the market or in development, and reduces acute gastrointestinal (GI) side effects - including erosions, ulcers, and bleeding - associated with aspirin and ibuprofen, and potentially other drugs.",Aurus;Dipexium Pharmaceuticals;Hawaii Angels;Houston Technology Center;Integra Ventures;MediGen Group;National Institutes of Health;Paperboy Ventures;Qualifying Therapeutic Discovery Project;Small Business Innovation Research Awards;Texas Emerging Technology Fund;U.S. Department of Defense;U.S. Department of Health and Human Services;U.S. Small Business Administration;Undisclosed Angel Investors;Undisclosed Investors,40.32,Healthcare,Drug Delivery,,United States,Texas,Houston,713-842-1249,info@plxpharma.com,Yes,Reverse Merger,2016/12/22,Debt,2016/03/11,1.3,Debt,Undisclosed Investors,7.204224,7.204224,,,North America,,Portfolio Company Matchmaking M&A,,,,,,,
PROS Holdings,http://www.pros.com,"PROS Holdings (NYSE: PRO) is a big data software company that helps customers outperform in their markets by using big data to sell more effectively. We apply 27 years of data science experience to unlock buying patterns and preferences within transaction data to reveal which opportunities are most likely to close, which offers are most likely to sell and which prices are most likely to win. PROS offers big data solutions to optimize sales, pricing, quoting, rebates and revenue management across more than 30 industries. PROS has completed over 600 implementations of its solutions in more than 50 countries. The PROS team comprises more than 700 people around the world.",JMI Equity;Public;TA Associates,25,Software (non-internet/mobile),"Business Intelligence, Analytics & Performance Mgmt Software",,United States,Texas,Houston,713-335-5151,,Yes,IPO,2007/06/28,Private Equity,1998/06/15,25,Private Equity,TA Associates;JMI Equity,283.66,283.66,,,North America,,,,,,,,,
